calc_date,avg,n_calc,min,max
2020-02-02,40.39789496527778,9216,1.0,2945.0
2020-02-09,49.523185587061114,9769,1.0,3419.0
2020-02-16,55.961546085232904,10090,1.0,3576.0
2020-02-23,59.12365225837785,10295,1.0,3485.0
2020-03-01,59.526154728889736,10457,1.0,3466.0
2020-03-08,59.860853080568724,10550,1.0,3507.0
2020-03-15,60.0333270570514,10622,1.0,3505.0
2020-03-22,60.90704382618405,10747,1.0,3544.0
2020-03-29,62.15335492827395,10805,1.0,3632.0
2020-04-05,62.8651819264962,10911,1.0,3671.0
2020-04-12,63.41388360937641,11049,1.0,3674.0
2020-04-19,63.74087266251113,11230,1.0,3704.0
2020-04-26,63.934248745709006,11361,1.0,3625.0
2020-05-03,63.430065698478565,11568,1.0,3567.0
2020-05-10,64.04606607629428,11744,1.0,3549.0
