account_id,observation_date,metric_group_1,metric_group_2,metric_group_3,dislike_per_month,adview_per_post,reply_per_message,dislike_pcnt,newfriend_pcnt_chng,days_since_newfriend
3,2020-05-10,-0.04676413377232545,0.20770694253371505,-0.11359287863235659,1.3862943611198906,0.4946962418361071,0.20833333,1.0,0.5,1.0
4,2020-05-10,0.8499685717339406,-0.8768834847249344,1.315837517858512,3.1354942159291497,0.8472978889586318,0.47272727,2.0,0.0,26.0
5,2020-05-10,0.08232306370030275,-0.3119788229303515,-1.0545944178605076,0.6931471805599453,0.3677247839714712,0.33333334,1.0,0.27272725,0.0
6,2020-05-10,-0.2591132908667308,1.6719041410059534,0.19951998728658024,1.0986122886681098,0.1823215567939546,0.32142857,1.0,-0.57142854,1.0
7,2020-05-10,0.4619103603818914,-0.8768834847249344,1.9790395180016103,0.6931471805599453,1.2851982399932027,0.56551725,1.0,0.25,2.0
8,2020-05-10,-1.001102909967221,-0.3119788229303515,0.5528831099929185,2.4849066497880004,1.33500106673234,0.18518518,1.0,0.0,12.0
9,2020-05-10,0.48206406161697757,-0.8768834847249344,-1.4627041826979506,3.367295829986474,0.5520685792697367,1.0,1.0,1.0,1.0
10,2020-05-10,-0.24142087547185834,0.2529258727585103,3.3216542772387805,1.0986122886681098,0.8823891526122665,0.38068965,1.0,0.1428572,3.0
11,2020-05-10,-0.43579190578592175,-0.3119788229303515,-0.4791080822759292,0.6931471805599453,0.4054651081081644,0.30769232,1.0,0.0,3.0
12,2020-05-10,-1.6879501133218007,1.1069994453170917,1.8536187096526873,1.0986122886681098,0.0,0.35849056,1.0,0.0,22.0
14,2020-05-10,-1.0768966835162699,-0.3119788229303515,-0.22726983542459206,1.0986122886681098,0.5389965098993535,0.05263158,1.0,0.0,7.0
16,2020-05-10,-1.2343223428574486,0.2529258727585103,2.344562272165054,3.5553480614894135,1.0986122886681098,0.87603307,2.0,-1.0,42.0
17,2020-05-10,-1.5045722341423966,-0.8768834847249344,0.1199471327367107,2.6390573296152584,0.6931471805599453,0.6666667,1.0,0.0,81.0
18,2020-05-10,0.028836895447521778,1.6879586845931076,-0.8542015917439395,2.1972245773362196,0.1262937300700548,0.42857143,1.0,0.0,12.0
19,2020-05-10,1.0130490874604803,0.2529258727585103,-1.356544013452625,3.713572066704308,0.21233263538390718,0.0,1.0,-0.19999999,10.0
20,2020-05-10,0.7186826810348004,0.08282806674228631,-1.0545944178605076,1.9459101490553132,1.339774340723093,0.33333334,1.0,0.71428573,3.0
21,2020-05-10,-0.40869340183350866,5.671779131390607,1.413046786725762,0.6931471805599453,0.6131044803864089,0.49411765,1.0,-0.75,14.0
22,2020-05-10,-0.4762492381298366,3.1069369281782864,-1.3266281308707764,1.6094379124341003,0.2468600779315258,1.5,1.0,-0.5,1.0
23,2020-05-10,1.9112886554844815,-0.3119788229303515,-1.0805836936845319,2.4849066497880004,1.055261857288167,0.75,1.0,-0.21739131,1.0
24,2020-05-10,-1.1313243906083057,-0.8768834847249344,1.7108244312279872,2.3978952727983707,0.30010459245033816,0.46666667,1.0,0.0,23.0
25,2020-05-10,0.0565688684600356,-0.3119788229303515,-1.5742473161335808,3.044522437723423,0.7492366399382616,0.0,1.0,1.0,6.0
26,2020-05-10,-0.41255319911050314,-0.8768834847249344,2.5246505756952637,1.9459101490553132,2.2512917986064953,0.39739415,1.0,-0.111111104,0.0
27,2020-05-10,-0.061650924457009426,0.8178304667645352,-1.356544013452625,2.995732273553991,0.09531017980432493,0.0,1.0,2.0,5.0
28,2020-05-10,0.9809316292829271,1.1581345653064739,-0.7564277900675735,2.833213344056216,0.7029033836606494,0.16666667,1.0,1.3333333,0.0
29,2020-05-10,1.6544518913733843,-0.8768834847249344,-0.2254918741399753,3.4339872044851463,0.7999772059592463,0.8181818,1.0,0.07692313,0.0
30,2020-05-10,-2.1003913089827226,-0.8768834847249344,-0.9185183660333334,1.6094379124341003,1.0986122886681098,0.5,1.0,-0.5,27.0
31,2020-05-10,-0.2462267252729016,-0.8768834847249344,-0.8792902140916741,2.0794415416798357,0.15415068268440107,0.071428575,1.0,0.1428572,6.0
32,2020-05-10,-0.06279951967725586,-0.8768834847249344,0.018749353447091093,4.189654742026425,1.1819938776071606,0.0625,1.0,-0.3333333,15.0
33,2020-05-10,0.23974772492467475,0.9115631949371487,-0.16327514357807915,2.0794415416798357,0.21029541435360213,0.4375,1.0,1.3333333,7.0
