account_id,observation_date,metric_group_1,metric_group_2,metric_group_3,dislike_per_month,adview_per_post,reply_per_message,dislike_pcnt,newfriend_pcnt_chng,days_since_newfriend,is_churn
27,01/03/2020,0.2290488733487545,-0.8768834836763875,-0.6411734102416375,1.001150209,-1.139471941,0.195375168,0.22091393,-0.627995328,1.389039883,False
36,01/03/2020,0.9228296963610809,-0.8768834836763875,0.3744063140747197,0.773794842,0.548575316,0.415400964,0.22091393,3.56528935,-0.368558876,False
91,01/03/2020,-0.715685817367948,-0.8768834836763875,-0.9927666334458274,-1.10456736,0.004776464,0.657429474,0.22091393,4.102889952,-0.63219869,False
112,01/03/2020,-1.0687517179848316,2.015620872473984,-1.7363126435202567,-1.486819318,2.134449104,-1.124780056,0.22091393,-0.197914868,1.389039883,False
218,01/03/2020,-0.5075381205815139,-0.8768834836763875,-0.004153381958910161,0.202360719,0.693933766,0.360394552,0.22091393,0.160485573,-0.280678938,False
232,01/03/2020,-0.4004896507513995,-0.8768834836763875,-1.6484955831849353,-2.140283358,-0.471679765,-1.124780056,-4.526469779,-0.044314634,-0.63219869,False
237,01/03/2020,-1.6201384554238687,-0.8768834836763875,-0.9902776439679812,-2.140283358,-0.140581897,-0.276108809,-4.526469779,-1.273116073,-0.63219869,True
258,01/03/2020,-0.8385832729290297,-0.8768834836763875,1.8256816822741748,0.202360719,-0.537723819,0.293894166,0.22091393,-0.73551547,1.301159945,False
272,01/03/2020,1.30341988726701,1.3772891479068423,-1.5219245877304155,-1.10456736,-0.358142212,7.786267593,0.22091393,0.10928546,-0.456438814,False
279,01/03/2020,-1.196286092320382,2.015620872473984,0.7370793411896297,0.584612678,0.470455297,0.912030878,0.22091393,-0.197914868,1.652679697,False
284,01/03/2020,-0.29359787198100024,-0.8768834836763875,0.4692503546197374,0.683941234,1.332076082,0.312485641,0.22091393,1.952487542,0.24660069,False
321,01/03/2020,0.4779468788716466,0.3875805643553729,-1.2166597456500372,0.729938128,2.226418701,0.360394552,0.22091393,-0.627995328,-0.017039124,False
354,01/03/2020,0.2971608159941597,-0.8768834836763875,0.6315305554657797,0.277820928,1.959510817,0.487695314,0.22091393,-0.491151536,-0.63219869,False
356,01/03/2020,-2.0860892716018316,1.10442864147338,-0.8368911155492298,-1.10456736,-0.140581897,-0.530710212,0.22091393,0.877286337,0.334480628,False
386,01/03/2020,0.6024430424528316,0.11630180630963392,1.2520179140507715,-0.068851361,0.960167247,0.839483217,0.22091393,0.769766217,-0.63219869,False
442,01/03/2020,1.5373490218524313,0.06887993368689495,-1.0286795388869954,1.891540757,1.296949012,-0.827745134,0.22091393,0.742886187,-0.456438814,False
565,01/03/2020,-1.7100020901633688,-0.8768834836763875,2.052756303851557,-2.140283358,-0.75161909,-0.372631494,-4.526469779,-0.197914868,-0.63219869,False
577,01/03/2020,-1.4276573827444035,2.015620872473984,0.3479957898228661,0.120330802,0.595747093,-0.103722513,0.22091393,-0.73551547,0.158720752,False
587,01/03/2020,0.9762443651687297,-0.8768834836763875,-0.5533563492321162,0.277820928,-0.283087197,-0.044653049,0.22091393,-0.280622645,-0.368558876,False
692,01/03/2020,0.24902561888189892,-0.8768834836763875,1.3162467249204954,-0.45110332,0.627330697,-0.196545926,0.22091393,-0.812315523,-0.63219869,False
737,01/03/2020,-0.2924128759192993,-0.8768834836763875,-0.9927666334458274,-0.179891239,2.522301929,0.657429474,0.22091393,-0.197914868,-0.280678938,False
